max_phase,molecule_chembl_id,pref_name
4.0,CHEMBL3,NICOTINE
4.0,CHEMBL4,OFLOXACIN
4.0,CHEMBL6,INDOMETHACIN
4.0,CHEMBL8,CIPROFLOXACIN
4.0,CHEMBL9,NORFLOXACIN
4.0,CHEMBL406,INDAPAMIDE
4.0,CHEMBL407,FLUMAZENIL
4.0,CHEMBL408,TROGLITAZONE
4.0,CHEMBL12,DIAZEPAM
4.0,CHEMBL411,DIETHYLSTILBESTROL
4.0,CHEMBL14,CARBACHOL
4.0,CHEMBL16,PHENYTOIN
4.0,CHEMBL413,SIROLIMUS
4.0,CHEMBL416,METHOXSALEN
4.0,CHEMBL20,ACETAZOLAMIDE
4.0,CHEMBL21,SULFANILAMIDE
4.0,CHEMBL421,SULFASALAZINE
4.0,CHEMBL6466,COUMARIN
4.0,CHEMBL24,ATENOLOL
4.0,CHEMBL25,ASPIRIN
3.0,CHEMBL26,SULPIRIDE
4.0,CHEMBL428,TROVAFLOXACIN
4.0,CHEMBL30,CIMETIDINE
4.0,CHEMBL31,GATIFLOXACIN
4.0,CHEMBL435,HYDROCHLOROTHIAZIDE
4.0,CHEMBL35,FUROSEMIDE
4.0,CHEMBL437,SULFATHIAZOLE
4.0,CHEMBL438,SULFAMERAZINE
4.0,CHEMBL439,SULFADIAZINE
4.0,CHEMBL38,TRETINOIN
4.0,CHEMBL443,SULFAMETHOXAZOLE
4.0,CHEMBL42,CLOZAPINE
4.0,CHEMBL446,SULFAMETHAZINE
4.0,CHEMBL267894,AMOBARBITAL
4.0,CHEMBL451,CHLORDIAZEPOXIDE
4.0,CHEMBL452,CLONAZEPAM
4.0,CHEMBL453,SULFISOXAZOLE
4.0,CHEMBL456,ETHACRYNIC ACID
4.0,CHEMBL267744,TICRYNAFEN
4.0,CHEMBL457,GEMFIBROZIL
4.0,CHEMBL45,MELATONIN
4.0,CHEMBL46,ONDANSETRON
4.0,CHEMBL459,METHYLDOPA
4.0,CHEMBL54,HALOPERIDOL
4.0,CHEMBL57,NEVIRAPINE
2.0,CHEMBL267044,LEVOSULPIRIDE
4.0,CHEMBL467,HYDROXYUREA
4.0,CHEMBL61,PODOFILOX
