action_type,molecule_chembl_id,parent_molecule_chembl_id
ANTAGONIST,CHEMBL42,CHEMBL42
ANTAGONIST,CHEMBL54,CHEMBL54
ANTAGONIST,CHEMBL42,CHEMBL42
INVERSE AGONIST,CHEMBL54,CHEMBL54
ANTAGONIST,CHEMBL22242,CHEMBL22242
ANTAGONIST,CHEMBL14376,CHEMBL14376
ANTAGONIST,CHEMBL85,CHEMBL85
ANTAGONIST,CHEMBL14376,CHEMBL14376
ANTAGONIST,CHEMBL85,CHEMBL85
ANTAGONIST,CHEMBL85,CHEMBL85
INHIBITOR,CHEMBL781,CHEMBL781
AGONIST,CHEMBL103,CHEMBL103
AGONIST,CHEMBL386630,CHEMBL386630
ANTAGONIST,CHEMBL296419,CHEMBL296419
ANTAGONIST,CHEMBL1672054,CHEMBL1672054
AGONIST,CHEMBL209821,CHEMBL209821
INHIBITOR,CHEMBL187709,CHEMBL187709
,CHEMBL253376,CHEMBL253376
MODULATOR,CHEMBL954,CHEMBL954
MODULATOR,CHEMBL81,CHEMBL81
ANTAGONIST,CHEMBL1231,CHEMBL1231
ANTAGONIST,CHEMBL1200406,CHEMBL1200406
ANTAGONIST,CHEMBL728,CHEMBL728
ANTAGONIST,CHEMBL71,CHEMBL71
ANTAGONIST,CHEMBL479,CHEMBL479
ANTAGONIST,CHEMBL479,CHEMBL479
ANTAGONIST,CHEMBL1276308,CHEMBL1276308
ANTAGONIST,CHEMBL1276308,CHEMBL1276308
INHIBITOR,CHEMBL822,CHEMBL822
INHIBITOR,CHEMBL1714574,CHEMBL1714574
ANTAGONIST,CHEMBL1231,CHEMBL1231
BLOCKER,CHEMBL698,CHEMBL698
ANTAGONIST,CHEMBL71,CHEMBL71
ANTAGONIST,CHEMBL479,CHEMBL479
,CHEMBL1909072,CHEMBL1909072
BLOCKER,CHEMBL404849,CHEMBL404849
BLOCKER,CHEMBL43064,CHEMBL43064
ANTAGONIST,CHEMBL43064,CHEMBL43064
ANTAGONIST,CHEMBL60889,CHEMBL60889
AGONIST,CHEMBL60889,CHEMBL60889
ANTAGONIST,CHEMBL1628227,CHEMBL1628227
ANTAGONIST,CHEMBL2105667,CHEMBL2105667
AGONIST,CHEMBL596,CHEMBL596
MODULATOR,CHEMBL596802,CHEMBL596802
INHIBITOR,CHEMBL1651534,CHEMBL1651534
ANTAGONIST,CHEMBL499,CHEMBL499
AGONIST,CHEMBL1218,CHEMBL1218
ANTAGONIST,CHEMBL499,CHEMBL499
PARTIAL AGONIST,CHEMBL2105760,CHEMBL2105760
PARTIAL AGONIST,CHEMBL2105760,CHEMBL2105760
ANTAGONIST,CHEMBL2105760,CHEMBL2105760
ANTAGONIST,CHEMBL1215661,CHEMBL1215661
AGONIST,CHEMBL3039520,CHEMBL3039520
ANTAGONIST,CHEMBL567303,CHEMBL567303
INVERSE AGONIST,CHEMBL462605,CHEMBL462605
ANTAGONIST,CHEMBL3305901,CHEMBL3305901
